"id","name","description"
"1","Via Ferrata l'école du Nant de Rossane","Via ferrata école idéale pour l'apprentissage, située à environ 1000m d'altitude sur la rive droite du Col du Martinet. Ce parcours pédagogique se compose de trois secteurs distincts offrant une progression adaptée : un premier secteur assez difficile (100m) pour maîtriser les techniques de longes avec échelle de 5m et pont népalais de 8m, un deuxième secteur facile (80m) quasi horizontal sur vires avec passerelle de 5m, et un troisième secteur difficile (90m) incluant un pont de singe de 12m et une tyrolienne de 20m. Le parcours offre un magnifique panorama sur les paysages de la station des Aillons-Margériaz dans un environnement forestier. Difficulté croissante permettant une initiation en toute sécurité. Accès depuis le parking de la route de la Chapelle par sentier bien marqué en 10 minutes."
"2","Via Ferrata La Roche","Via ferrata située sur le site spectaculaire de La Roche, offrant un point de vue exceptionnel sur les gorges de la Vézère, le barrage du Saillant et le bassin de Brive. Ce parcours de 600 mètres permet de progresser sur une paroi rocheuse en milieu forestier avec un dénivelé de 167 mètres. Le parcours, rénové en 2022, propose des aménagements variés et ludiques : barreaux métalliques, ponts de singes, passerelle, filet métallique à grimper et une tyrolienne rapide (type speed). Accessible aux débutants comme aux pratiquants entraînés avec deux niveaux de difficulté (PD et AD), cette via offre une expérience complète dans un cadre naturel préservé. Gare SNCF à proximité à Allassac."
"3","Via Ferrata Le Roc de la Campana","Via ferrata récente construite dans le Grand Site classé du Massif du CanigÃ³. Le départ se situe à 50 mètres en dessous de la piscine naturelle du Mondony sur la rive droite. Ce parcours à progression verticale de difficulté moyenne (K2 - PD+) se compose de nombreux échelons métalliques et de 3 ponts de singe. Particulièrement adaptée aux débutants et aux enfants accompagnés d'adultes, elle évolue dans un environnement mixte de canyon et de forêt sur 200 mètres de dénivelé. L'itinéraire offre une belle découverte du massif avec une approche facile de 15 minutes et un retour en 45 minutes. Accessible toute l'année hors conditions météorologiques défavorables (pluie, vent fort, neige, orage) et arrêtés exceptionnels."
"4","Via Ferrata L'école Buissonnière","Petite via ferrata d'initiation située sur le site exceptionnel du Monolithe de Sardières, au cÅ“ur du Parc national de la Vanoise. Malgré sa cotation AD (assez difficile), ce parcours de 150 mètres est parfaitement adapté aux enfants et débutants entraînés. L'itinéraire ludique propose un enchaînement de passages dans les arbres et entre les deux impressionnants monolithes rocheux, offrant une expérience unique en milieu forestier. Le parcours se réalise en environ 1 heure avec une approche facile de 50 mètres à pied depuis le parking. Accessible depuis Aussois via la D83 direction Sardières, puis route du Monolithe (1 km jusqu'au Plan de la Croix). Site insolite à découvrir en famille."
"5","Via Ferrata du Diable - Les Angelots","Via ferrata spécialement conçue pour les enfants à partir de 5-6 ans, faisant partie du complexe exceptionnel des 7 Via Ferrata du Diable. Ce parcours ludique de 200 mètres évolue dans un environnement unique combinant cascade, forêt, gorges et site historique du Fort Victor-Emmanuel. Avec un départ insolite depuis le fort, cette via facile permet aux plus jeunes de découvrir l'activité en toute sécurité. Approche et retour très courts (5 minutes chacun) pour un accès facilité. Le site offre une expérience remarquable au cÅ“ur des gorges de l'Arc en Haute Maurienne Vanoise."
"6","Via Ferrata du Diable - Les Diablotins","Parcours du complexe des 7 Via Ferrata du Diable, spécialement adapté aux adultes débutants et enfants à partir de 9-10 ans (dès 6-8 ans pour la première partie). Ce tracé de 500 mètres propose une progression modulable avec un échappatoire permettant d'adapter la difficulté : niveau PD (peu difficile) avant l'échappatoire, AD (assez difficile) après. Avec une hauteur maximale de 50 mètres, cette via offre une belle initiation dans le cadre spectaculaire des gorges de l'Arc. Durée entre 45 minutes et 1h30 selon le rythme et le parcours choisi. Départ depuis le Fort Victor-Emmanuel, site historique remarquable."
"7","Via Ferrata du Diable - Le Chemin de la Vierge","Parcours du complexe des 7 Via Ferrata du Diable, itinéraire technique de 1100 mètres combinant descentes et montées. La descente de la Visitation est une traversée descendante avec 2 passerelles en bois alternant passages rocheux et sentiers, s'achevant par une échelle originale de 20 mètres face à la vue sur les gorges. Après 100 mètres de sentier menant au ressaut de l'Assomption, le dernier ressaut présente un passage athlétique et surtout une traversée finale splendide et impressionnante au-dessus de la cascade du Nant (hauteur 150m). Pour terminer, l'élégante passerelle de la Vierge franchit le ruisseau. Dénivelés positif et négatif de 100 mètres. Départ depuis la Redoute Marie-Thérèse (25 minutes d'approche)."
"8","Via Ferrata du Diable - La Traversée des Anges","Parcours du complexe des 7 Via Ferrata du Diable, itinéraire technique de 360 mètres de niveau difficile. La première partie descend dans une belle succession de vires et s'achève par la vertigineuse traversée des Séraphins. Cette traversée se poursuit de manière beaucoup plus physique dans la seconde partie, où une descente facile mène à un ressaut athlétique. Ce parcours exigeant offre des passages aériens remarquables dans le cadre spectaculaire des gorges de l'Arc. Durée approximative d'1h30. Approche rapide de 5 minutes et retour en 8 minutes depuis le Fort Victor-Emmanuel."
"9","Via Ferrata du Diable - La Montée au Ciel","Parcours du complexe des 7 Via Ferrata du Diable, section la plus haute avec plus de 200 mètres de hauteur. Après avoir passé le pont du Diable, ce parcours de 450 mètres propose des passages en dévers et une sortie spectaculaire directement dans le Fort Victor-Emmanuel. Avec 120 mètres de dénivelé positif, cette ascension difficile offre des sensations fortes et des vues imprenables sur les gorges de l'Arc. Durée entre 1 et 2 heures selon le rythme. Le départ s'effectue depuis le célèbre Pont du Diable, ajoutant au caractère unique de cette via ferrata historique."
"10","Via Ferrata du Diable - La Descente aux Enfers et Montée au Purgatoire","Parcours du complexe des 7 Via Ferrata du Diable, combinant descente et montée spectaculaires. Belle descente au fond des gorges de l'Arc, d'abord peu difficile puis s'accentuant pour devenir athlétique juste avant l'impressionnante passerelle des Enfers (hauteur 100m). La montée au Purgatoire s'élève ensuite dans une belle paroi et s'achève le long de la cascade du Nant. Itinéraire de 450 mètres de via ferrata plus 350 mètres de sentiers. Dénivelé négatif de 170 mètres puis positif de 120 mètres. Durée entre 1h30 et 3h. Départ depuis les batteries basses du Fort Victor-Emmanuel."
